IQ-TREE multicore version 1.6.12 for Linux 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    william-f-chaparro-pico (AVX512, FMA3, 15 GB RAM)
Command: iqtree -s /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA -m MFP -redo
Seed:    859137 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Fri Dec  1 13:51:55 2023
Kernel:  AVX+FMA - 1 threads (12 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 12 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 22 sequences with 367 columns, 56 distinct patterns
22 parsimony-informative, 40 singleton sites, 305 constant sites
WARNING: Some sequence names are changed as follows:
NC_016470.1:2013-3582 -> NC_016470.1_2013-3582
NC_028302.1:1782-3355 -> NC_028302.1_1782-3355

                       Gap/Ambiguity  Composition  p-value
   1  NC_016470.1_2013-3582    0.27%    passed     99.25%
   2  NC_028302.1_1782-3355    0.27%    passed     93.30%
   3  MG230196.1               0.82%    passed     99.94%
   4  MG230197.1               0.82%    passed     99.82%
   5  MG230198.1               0.82%    passed     99.94%
   6  MG230199.1               0.82%    passed    100.00%
   7  MG230200.1               0.82%    passed     94.92%
   8  MG230201.1               0.82%    passed     99.82%
   9  MG230202.1               0.82%    passed     99.93%
  10  MG230203.1               0.82%    passed     99.34%
  11  MG230204.1               0.82%    passed     99.82%
  12  MG230205.1               0.82%    passed     93.89%
  13  MG230206.1               0.82%    passed     99.82%
  14  MG230207.1               0.82%    passed     99.94%
  15  MG230208.1               0.82%    passed     99.94%
  16  MG230209.1               0.82%    passed     99.94%
  17  MG230210.1               0.82%    passed     99.82%
  18  MG230211.1               0.82%    passed     96.52%
  19  MG230212.1               0.82%    passed     91.00%
  20  MG230213.1               0.82%    passed     99.82%
  21  MG230214.1               0.82%    passed     99.94%
  22  MG230232.1               0.82%    passed     97.59%
****  TOTAL                    0.77%  0 sequences failed composition chi2 test (p-value<5%; df=3)
NOTE: MG230198.1 is identical to MG230196.1 but kept for subsequent analysis
NOTE: MG230201.1 is identical to MG230197.1 but kept for subsequent analysis
NOTE: MG230208.1 is identical to MG230207.1 but kept for subsequent analysis
NOTE: 6 identical sequences (see below) will be ignored for subsequent analysis
NOTE: MG230209.1 (identical to MG230196.1) is ignored but added at the end
NOTE: MG230204.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230206.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230210.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230213.1 (identical to MG230197.1) is ignored but added at the end
NOTE: MG230214.1 (identical to MG230207.1) is ignored but added at the end

For your convenience alignment with unique sequences printed to /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.uniqueseq.phy

NOTE: Restoring information from model checkpoint file /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.model.gz

CHECKPOINT: Initial tree restored
NOTE: ModelFinder requires 0 MB RAM!
ModelFinder will test 286 DNA models (sample size: 367) ...
 No. Model         -LnL         df  AIC          AICc         BIC
224  TIM3+F+G4     949.321      36  1970.641     1978.714     2111.234
225  TIM3+F+I+G4   949.230      37  1972.460     1981.007     2116.958
226  TIM3+F+R2     949.141      37  1972.283     1980.830     2116.781
227  TIM3+F+R3     948.976      39  1975.952     1985.493     2128.261
235  TVMe          965.126      33  1996.253     2002.992     2125.130
236  TVMe+I        957.865      34  1983.730     1990.899     2116.513
237  TVMe+G4       957.683      34  1983.366     1990.535     2116.148
238  TVMe+I+G4     957.660      35  1985.320     1992.934     2122.008
239  TVMe+R2       957.609      35  1985.218     1992.831     2121.905
240  TVMe+R3       957.566      37  1989.133     1997.680     2133.631
248  TVM+F         958.761      36  1989.522     1997.595     2130.115
249  TVM+F+I       951.354      37  1976.708     1985.255     2121.207
250  TVM+F+G4      951.034      37  1976.068     1984.615     2120.566
251  TVM+F+I+G4    950.953      38  1977.905     1986.942     2126.309
252  TVM+F+R2      950.870      38  1977.739     1986.776     2126.143
253  TVM+F+R3      950.724      40  1981.449     1991.510     2137.663
261  SYM           963.294      34  1994.588     2001.757     2127.371
262  SYM+I         956.013      35  1982.027     1989.640     2118.714
263  SYM+G4        955.788      35  1981.576     1989.189     2118.264
264  SYM+I+G4      955.764      36  1983.529     1991.601     2124.122
265  SYM+R2        955.683      36  1983.366     1991.438     2123.959
266  SYM+R3        955.624      38  1987.247     1996.284     2135.651
274  GTR+F         956.405      37  1986.809     1995.356     2131.308
275  GTR+F+I       948.992      38  1973.983     1983.020     2122.387
276  GTR+F+G4      948.658      38  1973.315     1982.352     2121.719
277  GTR+F+I+G4    948.586      39  1975.172     1984.714     2127.481
278  GTR+F+R2      948.476      39  1974.953     1984.494     2127.262
279  GTR+F+R3      948.335      41  1978.669     1989.266     2138.789
Akaike Information Criterion:           TN+F+G4
Corrected Akaike Information Criterion: TN+F+G4
Bayesian Information Criterion:         K2P+G4
Best-fit model: K2P+G4 chosen according to BIC

All model information printed to /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.model.gz
CPU time for ModelFinder: 0.008 seconds (0h:0m:0s)
Wall-clock time for ModelFinder: 0.008 seconds (0h:0m:0s)

NOTE: 0 MB RAM (0 GB) is required!
Estimate model parameters (epsilon = 0.100)
1. Initial log-likelihood: -983.180
2. Current log-likelihood: -978.471
3. Current log-likelihood: -977.637
4. Current log-likelihood: -977.203
5. Current log-likelihood: -976.755
6. Current log-likelihood: -976.291
7. Current log-likelihood: -975.810
8. Current log-likelihood: -975.311
9. Current log-likelihood: -974.793
10. Current log-likelihood: -974.254
11. Current log-likelihood: -973.693
12. Current log-likelihood: -973.108
13. Current log-likelihood: -972.498
14. Current log-likelihood: -971.860
15. Current log-likelihood: -971.193
16. Current log-likelihood: -970.494
17. Current log-likelihood: -969.762
18. Current log-likelihood: -968.995
19. Current log-likelihood: -968.190
20. Current log-likelihood: -967.348
21. Current log-likelihood: -966.467
22. Current log-likelihood: -965.552
23. Current log-likelihood: -964.607
24. Current log-likelihood: -963.644
25. Current log-likelihood: -959.460
Optimal log-likelihood: -959.423
Rate parameters:  A-C: 1.00000  A-G: 4.91226  A-T: 1.00000  C-G: 1.00000  C-T: 4.91226  G-T: 1.00000
Base frequencies:  A: 0.250  C: 0.250  G: 0.250  T: 0.250
Gamma shape alpha: 0.308
Parameters optimization took 25 rounds (0.016 sec)
Computing ML distances based on estimated model parameters... 0.000 sec
Computing BIONJ tree...
0.000 seconds
Log-likelihood of BIONJ tree: -959.433
--------------------------------------------------------------------
|             INITIALIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
Generating 98 parsimony trees... 0.014 second
Computing log-likelihood of 98 initial trees ... 0.031 seconds
Current best score: -958.354

Do NNI search on 20 best initial trees
Estimate model parameters (epsilon = 0.100)
BETTER TREE FOUND at iteration 1: -958.326
BETTER TREE FOUND at iteration 2: -958.326
Iteration 10 / LogL: -958.326 / Time: 0h:0m:0s
BETTER TREE FOUND at iteration 16: -958.326
Iteration 20 / LogL: -959.454 / Time: 0h:0m:0s
Finish initializing candidate tree set (19)
Current best tree score: -958.326 / CPU time: 0.059
Number of iterations: 20
--------------------------------------------------------------------
|               OPTIMIZING CANDIDATE TREE SET                      |
--------------------------------------------------------------------
BETTER TREE FOUND at iteration 23: -958.326
Iteration 30 / LogL: -977.190 / Time: 0h:0m:0s (0h:0m:0s left)
BETTER TREE FOUND at iteration 37: -958.326
Iteration 40 / LogL: -958.329 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.326
UPDATE BEST LOG-LIKELIHOOD: -958.326
Iteration 50 / LogL: -969.636 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 60 / LogL: -958.326 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 70 / LogL: -958.327 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 80 / LogL: -958.326 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 90 / LogL: -959.317 / Time: 0h:0m:0s (0h:0m:0s left)
BETTER TREE FOUND at iteration 99: -958.326
Iteration 100 / LogL: -958.326 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 110 / LogL: -961.941 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 120 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 130 / LogL: -959.453 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 140 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 150 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
BETTER TREE FOUND at iteration 157: -958.325
Iteration 160 / LogL: -963.391 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 170 / LogL: -963.391 / Time: 0h:0m:0s (0h:0m:0s left)
BETTER TREE FOUND at iteration 178: -958.325
Iteration 180 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 190 / LogL: -958.326 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 200 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 210 / LogL: -958.650 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 220 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 230 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 240 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 250 / LogL: -958.326 / Time: 0h:0m:0s (0h:0m:0s left)
Iteration 260 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
UPDATE BEST LOG-LIKELIHOOD: -958.325
UPDATE BEST LOG-LIKELIHOOD: -958.325
Iteration 270 / LogL: -958.325 / Time: 0h:0m:0s (0h:0m:0s left)
TREE SEARCH COMPLETED AFTER 279 ITERATIONS / Time: 0h:0m:0s

--------------------------------------------------------------------
|                    FINALIZING TREE SEARCH                        |
--------------------------------------------------------------------
Performs final model parameters optimization
Estimate model parameters (epsilon = 0.010)
1. Initial log-likelihood: -958.325
Optimal log-likelihood: -958.325
Rate parameters:  A-C: 1.00000  A-G: 5.20939  A-T: 1.00000  C-G: 1.00000  C-T: 5.20939  G-T: 1.00000
Base frequencies:  A: 0.250  C: 0.250  G: 0.250  T: 0.250
Gamma shape alpha: 0.306
Parameters optimization took 1 rounds (0.000 sec)
BEST SCORE FOUND : -958.325
Total tree length: 0.233

Total number of iterations: 279
CPU time used for tree search: 0.551 sec (0h:0m:0s)
Wall-clock time used for tree search: 0.551 sec (0h:0m:0s)
Total CPU time used: 0.572 sec (0h:0m:0s)
Total wall-clock time used: 0.572 sec (0h:0m:0s)

Analysis results written to: 
  IQ-TREE report:                /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.iqtree
  Maximum-likelihood tree:       /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.treefile
  Likelihood distances:          /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.mldist
  Screen log file:               /home/usuario/Documents/Phylogeny_UIS/Nariño_Cat/Seqs_from_Ruiz-García_et_al_2023/alignmente_2_outgroups_SI.FASTA.log

Date and Time: Fri Dec  1 13:51:56 2023
